genome_accession,base_pairs,AA_length,proteins,KOs_per_genome
GCA_000934745,4634603,1336140,4202,2058
GCA_001306115,4338330,1295667,3811,1978
GCA_000011125,1669696,493383,1714,1010
GCA_002797495,4402465,1355460,4063,1978
GCA_002507085,889165,252037,970,586
GCA_000008665,2178400,672721,2512,1420
GCA_003265975,1732259,488214,1650,847
GCA_004212085,1664055,476238,1763,1043
GCA_002951835,2469862,708723,2401,1175
GCA_002770575,3231216,917621,4151,2017
GCA_000019965,5957605,1757291,4672,2134
GCA_900114055,3852792,1050211,3564,1904
GCA_002503205,1727726,501052,1776,879
GCA_000685155,3203386,940474,3414,1436
GCA_000196895,3698650,1065420,3929,1484
GCA_000805965,943035,260943,1113,330
GCA_001469955,3929557,1136008,4007,1462
GCA_001817055,884266,259174,962,434
GCA_000024465,2753527,836452,2600,1750
GCA_000223395,1843267,541787,2007,1018
GCA_002117005,3192293,951090,2379,1191
GCA_000154225,2393958,706595,2023,1116
GCA_005191425,3543077,943950,3156,1356
GCA_001940725,4843591,1339116,4585,1430
GCA_900142025,3413166,984067,3405,1961
GCA_002687735,551902,166866,618,320
GCA_000423085,4117723,1227231,3764,1834
GCA_001780165,3722320,1092164,3086,1593
GCA_002780625,1107262,323891,1077,766
GCA_000405685,1085321,310675,1113,610
GCA_001642725,3034429,889945,3028,1603
GCA_001552015,605887,187848,665,337
GCA_002503705,1238951,348385,1296,430
GCA_000009365,3120143,909593,2820,1733
GCA_000402775,1325681,401345,1474,601
GCA_001011115,2209738,644153,2258,1086
GCA_003663325,734982,222421,765,387
GCA_001049915,3057334,915419,2857,1466
GCA_002211205,5786070,1731497,5640,2945
GCA_000327485,2820858,817936,2874,1377
GCA_000472805,3600571,1014183,3437,1665
GCA_000145275,5262222,1460565,4377,2029
GCA_000402355,1098042,327531,1190,539
GCA_000058485,7497934,2131133,6079,2415
GCA_002788215,3332022,964475,3444,1352
GCA_000013725,2575032,728664,2611,1305
GCA_002457155,1202126,377547,1032,579
GCA_000632985,884232,258616,847,660
GCA_002771845,2041727,491679,1814,1030
GCA_004195655,1234655,379537,1170,663
GCA_003661505,1027455,273123,1109,633
GCA_002011125,2062134,619420,2260,1176
GCA_000332315,5646343,1445764,4598,1676
GCA_002762975,1130899,318694,1237,558
GCA_001766815,1666081,512883,1750,1022
GCA_000217715,4355268,1236517,4264,1598
GCA_002792955,1300634,318065,1345,551
GCA_000517025,2884521,793069,2661,1580
GCA_003013295,1029845,231807,1908,890
GCA_000337035,3645313,1023090,3583,1414
GCA_001293525,6142063,1837440,5508,2881
GCA_002763225,1044951,300273,1117,492
GCA_002867475,1671818,484410,1703,600
GCA_000260115,4508243,1300103,3934,1555
GCA_003230355,1270198,354063,1447,815
GCA_000024805,9446314,2784159,6856,2682
GCA_900119185,5026272,1474830,4228,1650
GCA_001661595,3719297,1135035,3299,1289
GCA_002086485,7927592,2418879,7623,3136
GCA_002083985,1446933,371381,1360,619
GCA_001629205,1266629,365452,1250,639
GCA_001940655,4334170,1092239,4277,1275
GCA_000430605,3338457,991044,3114,1550
GCA_003104905,2913215,868992,2995,1357
GCA_000204155,6732271,1997657,5999,2395
GCA_001825035,676968,204516,722,389
GCA_000194625,1901943,573247,2153,1209
GCA_000025665,1486778,470020,1557,964
GCA_000698785,2527938,722112,3014,1172
GCA_001653075,8132638,2355798,7166,2661
GCA_000013445,3544738,1043702,3406,1577
GCA_900110485,4433598,1243335,4102,2120
GCA_003660975,1333875,365588,1331,534
GCA_001940755,2278690,644927,2194,852
GCA_007049995,1018533,236667,1054,542
GCA_001564035,581882,166315,686,303
GCA_000196655,2406232,690607,2404,1171
GCA_002214545,2065932,629273,2309,1045
GCA_001830115,1388926,320793,1585,663
GCA_000686525,2939696,879259,2736,1595
GCA_900465355,1324338,410453,1268,800
GCA_001789395,1162019,353884,1177,594
GCA_900156605,4638036,1352486,3972,2142
GCA_001723855,2087968,586468,2266,919
GCA_000317575,5544990,1544251,4986,1966
GCA_000025285,1563423,486130,1873,1048
GCA_000612055,2338390,704434,2104,1284
GCA_000213215,2137654,634751,2482,1203
GCA_000337455,4694889,1340959,4557,1525
GCA_002906575,4973118,1402910,5116,1850
GCA_000429925,4481975,1296371,3859,2039
GCA_001642025,2369714,713336,2184,1438
GCA_900142005,4034121,1176981,3609,2199
GCA_001793975,848643,226098,984,369
GCA_004524545,2547497,728726,2385,962
GCA_001509375,2382964,672506,2405,1182
GCA_002792915,760304,221168,867,377
GCA_900106765,3002518,877128,3037,1670
GCA_002355835,1130840,290125,1157,738
GCA_002078355,1826943,533913,1824,1003
GCA_000013405,3179300,912405,2922,1817
GCA_003324635,1760071,557299,1415,714
GCA_000015645,1669886,504633,1891,1043
GCA_000148385,2374137,718501,2563,1261
GCA_000015945,1570485,464671,1657,920
GCA_000255115,4991181,1368672,4657,2439
GCA_000973085,1330224,411613,1277,781
GCA_000469585,2825161,873114,2544,2197
GCA_001449115,5345702,1585062,4434,1703
GCA_900110555,4875221,1479602,4607,2141
GCA_000025325,5440782,1485546,5224,1839
GCA_000020625,2579695,758210,2381,1305
GCA_000423185,7413714,2207581,6971,3464
GCA_002794035,876715,252370,859,409
GCA_900176285,3696795,1052001,3247,1964
GCA_002506995,1321625,401167,1365,962
GCA_000371785,5353291,1502822,4886,2073
GCA_002502415,1860416,510840,1520,713
GCA_001399795,1455689,397722,1763,771
GCA_002772495,494618,134675,475,278
GCA_900090055,1878916,552270,1866,929
GCA_002290085,854780,193338,1529,865
GCA_002900535,1692085,447167,1776,755
GCA_000617865,3690031,1069348,3374,1740
GCA_002787055,1697207,522195,2009,927
GCA_000020465,2763181,812316,2564,1477
GCA_000217995,2138444,619682,2027,1187
GCA_001528745,5637742,1609171,4981,2826
GCA_001816645,882399,240099,922,433
GCA_001515205,1231125,364759,1314,835
GCA_000317795,1546846,450638,1525,901
GCA_001267175,2494031,740570,2365,1644
GCA_000012545,1767403,495624,1552,900
GCA_000092125,3721669,1119429,3710,1790
GCA_001820295,736672,217573,778,402
GCA_002497405,1876842,533483,1528,737
GCA_002762835,587509,169768,691,235
GCA_900101835,1968473,582025,1834,1047
GCA_000350525,3185418,959367,2861,1516
GCA_002457555,1284027,400097,1091,613
